GAGEID,geometry_area_km2,gauge_lat,gauge_lon,area_gages2,area_difference_km2,area_difference_pct,area_gt_10pct,area_missing_metadata,basin_id,exclude_id_geometry,exclude_area,area_pass,retained,excluded,exclude_management,exclude_missing_attributes,exclude_landcover,exclude_ai,first_exclusion_reason,status,population_label,management_decision,NOAA_region
01030500,3673.86425895796,45.50097,-68.30596,3676.17,-2.305741042040154,0.06272128443570765,False,False,01030500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
02314500,2808.0241341924775,30.68056,-82.56056,3322.15,-514.1258658075226,15.475696937450826,True,False,02314500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
02315500,5914.52793732891,30.32578,-82.73818,6136.26,-221.7320626710898,3.6134724192112104,False,False,02315500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
04056500,2982.0868509480215,46.03053,-86.16125,2945.89,36.19685094802162,1.2287237795037025,False,False,04056500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
04124000,2287.7720317100516,44.43639,-85.69868,2243.63,44.14203171005147,1.9674381119013147,False,False,04124000,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05057000,8134.198776915601,47.43277,-98.0276,7582.46,551.7387769156012,7.2765141776626745,False,False,05057000,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05062500,2435.314566488782,47.26663,-96.24478,2407.05,28.26456648878184,1.1742409376116756,False,False,05062500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05123400,3219.3566905146454,48.58889,-100.44208,3206.1,13.25669051464547,0.4134833758973666,False,False,05123400,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05129115,2371.156927043715,48.26463,-92.56599,2357.59,13.566927043714713,0.5754574393221346,False,False,05129115,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05131500,4340.193429097903,48.39578,-93.54933,4383.51,-43.31657090209683,0.9881709155926831,False,False,05131500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05514500,2407.067689623717,39.0088,-90.97754,2407.41,-0.3423103762829669,0.01421903108664361,False,False,05514500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
06191500,6804.670665826896,45.11188,-110.79438,6783.59,21.08066582689571,0.3107597279153915,False,False,06191500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
06784000,6381.170661323609,41.03244,-98.74053,6019.74,361.43066132360946,6.004090896344517,False,False,06784000,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
06846500,4350.418873635342,,,,,,False,True,06846500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
08079600,3512.2174460780534,33.03843,-101.19763,3348.95,163.26744607805358,4.8751831492871975,False,False,08079600,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
