basin_id,complete_24h_days,incomplete_days,completeness_percent
01013500,3991,1853,68.2923
03164000,5509,335,94.2676
03213700,4366,1478,74.7091
05056000,4279,1565,73.2204
05412500,4145,1699,70.9274
05585000,4472,1372,76.5229
06043500,5478,366,93.7372
06339500,3079,2765,52.6865
06353000,1969,3875,33.6927
06441500,3635,2209,62.2005
06450500,3699,2145,63.2957
06453600,962,4882,16.4613
06464500,3695,2149,63.2272
06468170,3437,2407,58.8125
06775500,4472,1372,76.5229
07014500,4646,1198,79.5003
07056000,5482,362,93.8056
07067000,5190,654,88.8090
07068000,5205,639,89.0657
07071500,5302,542,90.7255
07148400,5221,623,89.3395
07149000,5161,683,88.3128
07151500,4551,1293,77.8747
07226500,3391,2453,58.0253
07292500,4674,1170,79.9795
07301500,5320,524,91.0335
08164000,5497,347,94.0623
09430500,5596,248,95.7563
12358500,3747,2097,64.1170
12414500,4932,912,84.3943
13337000,4937,907,84.4798
13338500,5183,661,88.6893
13340600,5509,335,94.2676
